# 携程西藏景点清单（1490 个，按点评数降序）
# 格式：景点名,URL
稻城亚丁-夏诺多吉,https://you.ctrip.com/sight/daochengcounty342/62716.html
姊妹湖,https://you.ctrip.com/sight/batang3102/1697524.html
尊胜塔林,https://you.ctrip.com/sight/daochengcounty342/131896601.html
迪庆藏族自治州博物馆,https://you.ctrip.com/sight/shangrila106/77036.html
西藏自治区阿里博物馆,https://you.ctrip.com/sight/garcounty120143/145146866.html
古如江寺,https://you.ctrip.com/sight/garcounty120143/142246781.html
芝达布日寺,https://you.ctrip.com/sight/garcounty120143/145200233.html
中流砥柱,https://you.ctrip.com/sight/gongbogyamda120396/128970.html
八美镇,https://you.ctrip.com/sight/daofu1446234/22068.html
雨崩景区-神瀑,https://you.ctrip.com/sight/deqin2178/75755.html
孔雀山天心十二湖观景点,https://you.ctrip.com/sight/deqin2178/151277477.html
三江源国家级自然保护区,https://you.ctrip.com/sight/chindu1446316/50054.html
拉姆央措湖,https://you.ctrip.com/sight/shangrila106/1487368.html
玉龙拉措景区,https://you.ctrip.com/sight/dege3140/22763.html
格聂山,https://you.ctrip.com/sight/litang3150/76751.html
雨崩上村,https://you.ctrip.com/sight/deqin2178/133340.html
玉树市文成公主纪念馆,https://you.ctrip.com/sight/yushucity1446308/50065.html
稻城亚丁-冲古草甸,https://you.ctrip.com/sight/daochengcounty342/1509005.html
鱼子西风景区(鱼子西星空营地),https://you.ctrip.com/sight/kangding344/143166387.html
木雅金塔,https://you.ctrip.com/sight/kangding344/77559.html
唐古拉山,https://you.ctrip.com/sight/amdocounty120385/145575758.html
那曲,https://you.ctrip.com/sight/amdocounty120385/145822265.html
黄湖,https://you.ctrip.com/sight/banbar120406/144197156.html
边坝寺,https://you.ctrip.com/sight/banbar120406/5715139.html
奇林峡观景台,https://you.ctrip.com/sight/dinggye120378/145171852.html
朗赛林庄园,https://you.ctrip.com/sight/zhanang2451/145309926.html
唐古拉山,https://you.ctrip.com/sight/golmud332/133527977.html
达扎路恭纪功碑,https://you.ctrip.com/sight/lhasa36/5524.html
樟木口岸,https://you.ctrip.com/sight/nyalamcounty2445/11788.html
雾浓顶观景台,https://you.ctrip.com/sight/deqin2178/128371.html
勒通古镇·千户藏寨,https://you.ctrip.com/sight/litang3150/134017757.html
格萨尔王城,https://you.ctrip.com/sight/ganzicounty3156/5706501.html
雨崩下村,https://you.ctrip.com/sight/deqin2178/133342.html
德格印经院,https://you.ctrip.com/sight/dege3140/22762.html
亚青寺,https://you.ctrip.com/sight/baiyu120485/133463.html
门东寺,https://you.ctrip.com/sight/coqen120146/144198338.html
扎日南木错北岸观景台,https://you.ctrip.com/sight/coqen120146/152787979.html
帕茹错,https://you.ctrip.com/sight/coqen120146/144372461.html
措勤县尼姑寺,https://you.ctrip.com/sight/coqen120146/145484733.html
嘎结古寺,https://you.ctrip.com/sight/yushucity1446308/50063.html
沱沱河,https://you.ctrip.com/sight/golmud332/147295.html
大昭寺弥勒殿,https://you.ctrip.com/sight/lhasa36/1752939.html
鱼子西,https://you.ctrip.com/sight/kangding344/5714236.html
奔子栏,https://you.ctrip.com/sight/deqin2178/110272.html
冰湖,https://you.ctrip.com/sight/deqin2178/75776.html
多吉扎寺,https://you.ctrip.com/sight/gongga120408/55604.html
雾里村,https://you.ctrip.com/sight/gongshan1446282/1713046.html
扎日南木错南岸草帽山,https://you.ctrip.com/sight/coqen120146/152832596.html
打加错,https://you.ctrip.com/sight/coqen120146/144372850.html
扎日南木错南岸观景台,https://you.ctrip.com/sight/coqen120146/152803038.html
桑木拉达坂,https://you.ctrip.com/sight/coqen120146/152722593.html
夏岗江雪山观景台,https://you.ctrip.com/sight/coqen120146/152883609.html
可可西里山,https://you.ctrip.com/sight/gertse120145/145206910.html
小东湖,https://you.ctrip.com/sight/gertse120145/144372940.html
平山湖,https://you.ctrip.com/sight/gertse120145/144372937.html
小北湖,https://you.ctrip.com/sight/gertse120145/144457502.html
独克宗花巷,https://you.ctrip.com/sight/shangrila106/4333342.html
东竹林寺,https://you.ctrip.com/sight/deqin2178/12297.html
尼果寺,https://you.ctrip.com/sight/markam2452/149553446.html
邦达广场,https://you.ctrip.com/sight/basu120403/145203317.html
稻城亚丁-扎灌崩,https://you.ctrip.com/sight/daochengcounty342/50830.html
仁康古街,https://you.ctrip.com/sight/litang3150/1833193.html
唐蕃会盟碑,https://you.ctrip.com/sight/lhasa36/1488241.html
秋那桶,https://you.ctrip.com/sight/gongshan1446282/1713051.html
茨中天主教堂,https://you.ctrip.com/sight/deqin2178/4208.html
岗日托噶寺,https://you.ctrip.com/sight/qushui1446405/145565495.html
秀色才纳净土博览园,https://you.ctrip.com/sight/qushui1446405/151328741.html
理塘草原,https://you.ctrip.com/sight/litang3150/1832076.html
青朴(青朴修行地),https://you.ctrip.com/sight/zhanang2451/11839.html
小昭寺路,https://you.ctrip.com/sight/lhasa36/1752926.html
林芝自然博物馆,https://you.ctrip.com/sight/nyingchi126/133577.html
稻城亚丁风景区-三神山,https://you.ctrip.com/sight/daochengcounty342/1509054.html
福建园,https://you.ctrip.com/sight/nyingchi126/1696911.html
梅里十三塔,https://you.ctrip.com/sight/deqin2178/148724736.html
林芝风情街,https://you.ctrip.com/sight/nyingchi126/150371701.html
巴塘姊妹湖国家湿地公园,https://you.ctrip.com/sight/batang3102/150291579.html
扎龙,https://you.ctrip.com/sight/bome2436/145646394.html
林芝桃花园,https://you.ctrip.com/sight/nyingchi126/145202860.html
曲果德庆林寺,https://you.ctrip.com/sight/dinggye120378/143731584.html
措卡湖风景点,https://you.ctrip.com/sight/xinlong3126/2486657.html
新都桥十里长廊,https://you.ctrip.com/sight/kangding344/1713611.html
贡嘎错,https://you.ctrip.com/sight/bome2436/144196608.html
普达措杜鹃花海,https://you.ctrip.com/sight/shangrila106/2487792.html
羊八井地热温泉度假村,https://you.ctrip.com/sight/damxung2443/146106653.html?poiType=66&scene=online
桑桑高原牧场风景区,https://you.ctrip.com/sight/ngamring120375/145210345.html?poiType=3&scene=online
贡嘎蓝冰洞,https://you.ctrip.com/sight/banbar120406/144927310.html?poiType=3&scene=online
KAMARIQU星空藏药浴(拉萨店),https://you.ctrip.com/sight/lhasa36/145250112.html?poiType=66&scene=online
格桑花公园,https://you.ctrip.com/sight/lhasa36/128927.html
雀儿山,https://you.ctrip.com/sight/dege3140/22761.html
