景点名称,URL,失败原因
明永冰川,https://you.ctrip.com/sight/deqin2178/75425.html,已获取 poiId 但未采集到评论
维色寺,https://you.ctrip.com/sight/markam2452/145524661.html,未取到 poiId（无点评或页面无评论模块）
滇金丝猴国家公园,https://you.ctrip.com/sight/weixi1446265/137801.html,已获取 poiId 但未采集到评论
海子山国家级自然保护区,https://you.ctrip.com/sight/daochengcounty342/18695.html,已获取 poiId 但未采集到评论
卓玛拉措,https://you.ctrip.com/sight/daochengcounty342/43889.html,已获取 poiId 但未采集到评论
拉乌山洒咧营地,https://you.ctrip.com/sight/markam2452/145356386.html,未取到 poiId（无点评或页面无评论模块）
香格里拉风景区,https://you.ctrip.com/sight/shangrila106/144195432.html,未取到 poiId（无点评或页面无评论模块）
月光广场,https://you.ctrip.com/sight/shangrila106/1416716.html,已获取 poiId 但未采集到评论
红草地,https://you.ctrip.com/sight/daochengcounty342/50831.html,已获取 poiId 但未采集到评论
卡子拉山,https://you.ctrip.com/sight/litang3150/1713717.html,已获取 poiId 但未采集到评论
西藏羊八井国家地质公园,https://you.ctrip.com/sight/damxung2443/145516316.html,未取到 poiId（无点评或页面无评论模块）
独俊大峡谷,https://you.ctrip.com/sight/lhari120389/144927395.html,未取到 poiId（无点评或页面无评论模块）
达木寺,https://you.ctrip.com/sight/biru120390/5066935.html,未取到 poiId（无点评或页面无评论模块）
洛堆峰,https://you.ctrip.com/sight/damxung2443/5719177.html,未取到 poiId（无点评或页面无评论模块）
西藏美术馆,https://you.ctrip.com/sight/lhasa36/145397299.html,未取到 poiId（无点评或页面无评论模块）
色林错,https://you.ctrip.com/sight/xainza120386/131917380.html,未取到 poiId（无点评或页面无评论模块）
怒江大峡谷,https://you.ctrip.com/sight/fugong1446273/21705.html,已获取 poiId 但未采集到评论
大佛寺转经筒,https://you.ctrip.com/sight/shangrila106/1712902.html,已获取 poiId 但未采集到评论
小中甸花海,https://you.ctrip.com/sight/shangrila106/109891.html,已获取 poiId 但未采集到评论
兔儿山,https://you.ctrip.com/sight/litang3150/5067585.html,已获取 poiId 但未采集到评论
羊卓雍措-萨隆寺,https://you.ctrip.com/sight/gongga120408/4579180.html,未取到 poiId（无点评或页面无评论模块）
卡瓦格博峰,https://you.ctrip.com/sight/deqin2178/4398.html,已获取 poiId 但未采集到评论
古通村,https://you.ctrip.com/sight/bome2436/133946565.html,未取到 poiId（无点评或页面无评论模块）
香巴拉时轮坛城文化博览中心,https://you.ctrip.com/sight/shangrila106/1732596.html,已获取 poiId 但未采集到评论
伍须海,https://you.ctrip.com/sight/jiulong1446247/76567.html,已获取 poiId 但未采集到评论
稻城亚丁-夏诺多吉,https://you.ctrip.com/sight/daochengcounty342/62716.html,已获取 poiId 但未采集到评论
姊妹湖,https://you.ctrip.com/sight/batang3102/1697524.html,已获取 poiId 但未采集到评论
尊胜塔林,https://you.ctrip.com/sight/daochengcounty342/131896601.html,已获取 poiId 但未采集到评论
迪庆藏族自治州博物馆,https://you.ctrip.com/sight/shangrila106/77036.html,已获取 poiId 但未采集到评论
西藏自治区阿里博物馆,https://you.ctrip.com/sight/garcounty120143/145146866.html,未取到 poiId（无点评或页面无评论模块）
